,Tweets,User,User_statuses_count,user_followers,User_location,User_verified,fav_count,rt_count,tweet_date
436,@tedcruz Remember this meme posted by Donald Trump? I can't believe you have willingly handed your balls over to hi… https://t.co/PBioPwYhF6,⚖️ Tulski Gabbard Sues Like Devin Nunes,6568,419,Dallas/Fort Worth,False,0,0,2020-01-23 00:02:04
437,RT @RawStory: #AdamSchiffROCKS trends nationwide as House manager begins the prosecution of Donald Trump https://t.co/wIJE0NXXUn,Diane butler,24117,187,,False,0,510,2020-01-23 00:02:04
438,RT @PoliticusSarah: A dozen Republican Senators broke the rules and walked out on Adam Schiff as he was delivering the evidence against Don…,Terry Trepper,20844,284,"Sturgeon Bay, WI",False,0,910,2020-01-23 00:02:04
439,"RT @FlipperForty: @marklevinshow Martha Mitchell was right, also she was kidnapped, beaten, and held against her will by the man Trump name…",MsTucson13,15268,208,,False,0,275,2020-01-23 00:02:03
440,"RT @abutler04: Lawsuit:
Donald and Ivanka Trump Were Involved in Inauguration’s Inflated Payments to Their  Family Business. https://t.co/j…",Jon Boley,136408,1414,Bellingham WA,False,0,28,2020-01-23 00:02:03
441,RT @Harryslaststand: My great fear is that if Bernie Sanders gets the nomination Democratic party big wigs will fight against it like the o…,🕊Diana Di Giovanni #Richard4Deputy #Dawn4Deputy🌹,82322,7616,,False,0,17,2020-01-23 00:02:03
442,"Trump to become first president to speak at the March for Life

https://t.co/NoKNXUZOsW",Anne Louise 💙,93314,3287,Massachusettes USA,False,0,0,2020-01-23 00:02:03
443,RT @PhilipWegmann: Just Now: Donald Trump to become first president to speak live and in person at March for Life this Friday.,Rox,3487,76,,False,0,234,2020-01-23 00:02:03
444,RT @DeanObeidallah: Trump's lawyers have spoken more about Adam Schiff than Donald Trump. That is what a lawyer has to do when can't defend…,Sara Yaseen,56075,4360,"Virginia, USA",False,0,174,2020-01-23 00:02:02
445,"Our President is Donald Trump, and he has done more for our country in three years than all Presidents for the past… https://t.co/WwF5C1oD1e",J. Bluhm,84328,4390,,False,0,0,2020-01-23 00:02:02
446,RT @Thomas1774Paine: ‘Donald Trump’s Worst Nightmare’ Imprisoned in El Chapo’s Former Cell in Manhattan https://t.co/UKF3HrgECy,🚂DJT My POTUS ⭐️⭐️⭐️📌,67401,4920,"Daytona Beach, FL USA",False,0,10,2020-01-23 00:02:02
447,@ResisterDude @senatemajldr I think I’d call him DONALD TRUMP'S BITCH. That's exactly what he is!,IyaNla- Great Mama,27863,418,"Utopia, Planet Earth",False,0,0,2020-01-23 00:02:01
448,RT @RawStory: #AdamSchiffROCKS trends nationwide as House manager begins the prosecution of Donald Trump https://t.co/wIJE0NXXUn,Mahari Mengistu,278447,4080,"Los Angeles, CA",False,0,510,2020-01-23 00:02:01
449,it's still fuck donald trump !!!,~*~ ♥ paola ♥ ~*~,2780,613,★♡★,False,1,0,2020-01-23 00:02:01
450,"RT @daviddoel: He's going nuts. If Joe Biden can't handle basic questions from the media, how the hell is he going to handle Donald Trump.",milly rae,49774,122,,False,0,351,2020-01-23 00:02:01
451,"RT @HouseIntel: Donald Trump felt that Ukraine owed him.

His main focus before releasing the aid was what he would get in return.

But it'…",David Griffith,43016,23010,United States,False,0,1002,2020-01-23 00:02:00
452,RT @PalmerReport: Donald Trump just screwed up and blew a gaping hole in his own impeachment trial strategy https://t.co/x3Cp58rgMG,Ghazi.,23762,342,"Shillong, India",False,0,13,2020-01-23 00:02:00
453,RT @PhilipWegmann: Just Now: Donald Trump to become first president to speak live and in person at March for Life this Friday.,Work The Trade,8366,89,USA,False,0,234,2020-01-23 00:01:59
454,"RT @sam_vinograd: A crowd size that Trump does not need to lie about:

""About 11 million TV viewers watched the start of the U.S. Senate im…",EYKIS #REMOVETrumpPencePompeoBarrGOP,663896,16569,"Music City, USA - NashVegas",False,0,192,2020-01-23 00:01:59
